Bus_name,Hosting_Capacity_kW
_mdv_sub_1_lsb,10000
mdv201,10000
8163,750
8164,750
829,750
834,750
44582,750
8160,750
6584,750
8113,750
8124,750
14880,250
63707,250
63657,1000
63658,750
69478,750
69477,750
8184,0
39595,750
39582,750
796,8500
791,6000
58441,500
58446,500
846,750
98795,750
56777,750
56778,750
44586,750
62239,750
46394,750
46393,750
14879,250
62265,750
62262,750
58430,750
58429,750
105409,250
52524,250
8111,750
1023346,8500
mdv201_796usd_int,8500
28199,750
28196,750
62264,750
99420,750
14828,0
841,750
8083,750
782,3250
783,2750
63714,750
63711,750
58411,750
810,750
1010731,750
6580,750
6582,750
63654,750
14891,750
74420,750
74428,750
28287,500
28288,500
mdv201_1010732usd_int,750
1010732,750
28226,250
1127424,750
56751,750
56762,750
63680,500
63681,500
58431,750
823,750
28186,750
854,750
28284,500
28286,500
28189,750
1149717,750
39764,750
15011,750
69623,500
63638,1500
39763,750
39762,750
63684,500
39611,750
56781,750
39576,750
52517,750
788,4000
8079,750
8078,750
62242,750
28232,250
63659,750
69617,750
mdv201_hn_2_793_abc1023346_int,8500
63645,1000
63655,1000
8165,750
861,2250
63685,2000
8129,750
853,750
1011953,750
69484,750
69481,750
38388,750
8074,750
14845,0
14836,0
62250,750
39575,750
8126,750
1140228,750
28244,750
14841,0
56766,750
28285,500
67893,750
67891,750
107107,1000
801,750
88677,750
39605,750
44585,750
847,750
28208,750
8080,750
93587,750
62261,750
63662,750
63663,750
1144233,750
69487,750
14857,750
51012,750
mdv201_107109usd_int,750
107109,750
58426,750
88656,750
28193,750
8072,750
107782,750
52526,250
1144232,750
mdv201_1140228usd_int,750
63664,750
63642,750
58420,750
62253,750
62257,750
69490,750
mdv201_1144239usd_int,750
1144239,750
8177,250
8178,0
28224,250
28220,250
6594,750
58415,750
88675,750
800,750
8084,750
14892,750
28247,750
8081,750
63665,500
67896,750
6578,750
63682,250
1010730,750
44583,750
69616,750
58417,750
108763,750
14832,0
46395,750
44584,750
94729,750
69486,750
mdv201_99420usd_int,750
74433,750
74439,750
8181,0
1010734,750
mdv201_osw_1127424_int,750
69628,500
1032415,500
63656,1000
mdv201_107107usd_int,1000
8167,750
63639,1500
821,750
mdv202_osw_796_int,8500
1011952,750
63643,1250
1144238,750
822,750
1010735,750
mdv201_1144238usd_int,750
mdv201_1010735usd_int,750
mdv_sub_1_hsb,10000
